sample,reg,snr,repeat,method,path,rms,peak,high_to_low_mid_energy,temporal_contrast_db
5,reg005,5,3,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_3/raw_SpecSub_ch1.wav,0.005889047454327743,0.04595947265625,0.13645962738671122,1.2684964772653653
5,reg005,5,5,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_5/raw_SpecSub_ch1.wav,0.005885376749166625,0.04754638671875,0.13603112084712488,1.2734579950357015
5,reg005,5,7,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_7/raw_SpecSub_ch1.wav,0.005894782489856072,0.046295166015625,0.1356822293138358,1.292888551267686
5,reg005,5,10,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_10/raw_SpecSub_ch1.wav,0.005886647396261928,0.04656982421875,0.1373801861759937,1.2776758909966124
5,reg005,5,15,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_15/raw_SpecSub_ch1.wav,0.005883121144899299,0.043914794921875,0.1369596874752806,1.286002232327403
5,reg005,5,20,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_20/raw_SpecSub_ch1.wav,0.005885849132036199,0.044830322265625,0.13720100286623496,1.2865643693844533
5,reg005,5,1,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_1/raw_SpecSub_BCI_NMCFLMS.wav,0.005889230373196594,0.052459716796875,0.1328936436881435,0.8148433405797592
5,reg005,5,3,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_3/raw_SpecSub_BCI_NMCFLMS.wav,0.005889007538924464,0.064605712890625,0.2823188424991395,0.7831007370186023
5,reg005,5,5,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_5/raw_SpecSub_BCI_NMCFLMS.wav,0.005885362124482632,0.068267822265625,0.037876513284200386,0.746217342390711
5,reg005,5,7,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_7/raw_SpecSub_BCI_NMCFLMS.wav,0.005894586655772374,0.065704345703125,0.009018984881935001,0.7352640512372457
5,reg005,5,10,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_10/raw_SpecSub_BCI_NMCFLMS.wav,0.005886548281233873,0.06134033203125,0.003213398282096273,0.7429606137053645
5,reg005,5,15,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_15/raw_SpecSub_BCI_NMCFLMS.wav,0.005883014945592343,0.05963134765625,0.00123154512427304,0.7374351939247477
5,reg005,5,20,SS+NMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_20/raw_SpecSub_BCI_NMCFLMS.wav,0.005885852766893071,0.047882080078125,0.0006360947632091262,0.7536662949155887
5,reg005,5,1,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_1/raw_SpecSub_BCI_RNMCFLMS.wav,0.005889286797753299,0.0457763671875,0.0859889111743782,0.8415959610903254
5,reg005,5,3,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_3/raw_SpecSub_BCI_RNMCFLMS.wav,0.0058890282668773615,0.056182861328125,0.1733417374604514,0.8039754172619166
5,reg005,5,5,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_5/raw_SpecSub_BCI_RNMCFLMS.wav,0.00588532659911746,0.06005859375,0.23018968988158542,0.8120495510417854
5,reg005,5,7,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_7/raw_SpecSub_BCI_RNMCFLMS.wav,0.005894732007565945,0.061553955078125,0.27313559684112937,0.8617574821420806
5,reg005,5,10,SS+RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_10/raw_SpecSub_BCI_RNMCFLMS.wav,0.005886637890345192,0.05908203125,0.2918101223605257,0.8608380103135611
